project,resource_name,tech,status,queue_id,capacity_mw,hub,county,grade,overall_score,completeness_pct,verification_score,calibration_score,eia_crosswalk,eia_plant_id,sced_actuals,gen_profile,plant_value,location_confidence,portal,missing_fields,coverage
BPL Sol Solar LLC,EIA_64260,Solar,operating,,100.0,North,Falls,D,50.0,90.0,60,0,True,64260,False,False,False,high,,tracking_type,Registry; Solar Forecast
Prospero Solar II,EIA_64325,Solar,operating,,250.0,West,Andrews,D,53.3,100.0,60,0,True,64325,False,False,False,medium,,,Registry; Solar Forecast
Mockingbird Solar Center,BAKE_SLR_UNIT1,Solar,operating,,471.0,North,Lamar,B,86.7,80.0,80,100,True,64347,True,True,True,,,tracking_type; dc_ac_ratio,Registry; Solar Forecast; SCED ETL; Plant Value
Niagara Bottling - Seguin,EIA_64389,Solar,operating,,4.9,South,Guadalupe,D,53.3,100.0,60,0,True,64389,False,False,False,high,,,Registry; Solar Forecast
Brazoria West,EIA_64447,Solar,operating,,200.0,South,Brazoria,D,53.3,100.0,60,0,True,64447,False,False,False,medium,,,Registry; Solar Forecast
Corazon Energy LLC,CORAZON_UNIT1,Solar,operating,,200.0,South,Webb,C,66.7,100.0,100,0,True,64538,True,False,False,medium,,,Registry; Solar Forecast; SCED ETL
Ranchland Wind Project II,EIA_64544,Wind,operating,,148.0,North,Callahan,F,35.6,66.7,40,0,True,64544,False,False,False,,,hub_height_m; turbine_model; turbine_manuf; rotor_diameter_m,Registry; Wind Forecast
Ranchland Wind Project I,EIA_64551,Wind,operating,,114.9,North,Callahan,F,35.6,66.7,40,0,True,64551,False,False,False,,,hub_height_m; turbine_model; turbine_manuf; rotor_diameter_m,Registry; Wind Forecast
"El Algodon Alto Wind Farm, LLC",ALGODON_UNIT1,Wind,operating,,200.2,South,San Patricio,D,48.9,66.7,80,0,True,64591,True,False,False,,,hub_height_m; turbine_model; turbine_manuf; rotor_diameter_m,Registry; Wind Forecast; SCED ETL
TG East,EIA_64639,Wind,operating,,336.0,North,Knox,C,68.9,66.7,40,100,True,64639,False,True,True,,,hub_height_m; turbine_model; turbine_manuf; rotor_diameter_m,Registry; Wind Forecast; Plant Value
White Mesa Wind,EIA_64710,Wind,operating,,500.6,West,Crockett,C,68.9,66.7,40,100,True,64710,False,True,True,,,hub_height_m; turbine_model; turbine_manuf; rotor_diameter_m,Registry; Wind Forecast; Plant Value
FELPS 1 - Calaveras,EIA_64821,Solar,operating,,1.0,South,Wilson,D,53.3,100.0,60,0,True,64821,False,False,False,high,,,Registry; Solar Forecast
